rang;name;nation;member_id;punkte
340;Julia NIELSEN;DEN;20186;10
340;Zeynep Sude EREL;TUR;23208;10
340;Ceylinaz MUMCU;TUR;30176;10
340;Patricia STASOVA;SVK;27308;10
340;Sarah Zeyu DU;NOR;15977;10
340;Pika ŠKRLJ;SLO;24907;10
340;Ceylin MURADOGLU;TUR;23723;10
340;Efsa TEKDEMIR;TUR;45485;10
340;Elif Iclal MERCAN;TUR;41553;10
340;Emine Tugba KAYIM;TUR;30424;10
340;Sema CIYRIK;TUR;46353;10
340;Zeynep Hatice ERYILMAZ;TUR;26838;10
340;Rita GUDA;KOS;21190;10
340;Alais CARMARAN;FRA;24031;10
340;Audrina Ammara DARMAWAN;NOR;35685;10
340;Benedicte Kryger BOE;DEN;30974;10
340;Lucia PEREZ;ESP;35742;10
340;Nadia ALONSO;ESP;39810;10
340;LæRke BIE;DEN;45646;10
340;Liva DUNFELDT HECKMANN;DEN;17743;10
340;Ida BOESEN;DEN;23776;10
340;Veronika MARKELOVA;LAT;46151;10
373;Telma SCHÄRBERG;SWE;38256;9
373;Ester INIESTA;ESP;41738;9
373;Flavia BOCICA;ESP;21093;9
373;Leyre RAIGON;ESP;26659;9
373;Blanca RUBIO;ESP;40192;9
373;Ainara RIOS;ESP;37880;9
373;Rozie CORRIEZ;FRA;49205;9
373;Suluo LI;GER;31039;9
373;Nina RADOVÁ;CZE;23148;9
373;Imogen DREW;ENG;37687;9
373;Nanda MENON;NED;16907;9
373;Alienor DAVAL;FRA;42960;9
373;Aadya SMITA RAGHU;GER;25343;9
373;Eliška BURGETOVÁ;CZE;43358;9
373;KarolíNa MARADOVÁ;CZE;48918;9
373;Irene MARTINEZ;ESP;39707;9
373;Candela REDONDO;ESP;32154;9
373;Marta RICO;ESP;47224;9
373;Carlota BALBOA;ESP;19175;9
373;Alexia PEREZ;ESP;36486;9
373;Sara ALFAYA;ESP;32348;9
373;Laia GINER;ESP;40380;9
373;Irene TORRES;ESP;38574;9
373;Lorena PIEDRA;ESP;24475;9
373;Maria Jesus AYBAR;ESP;29947;9
373;Alba FERNANDEZ;ESP;23398;9
373;Sarah BOHRHAUER;FRA;26755;9
373;Flore-Ann MATHIOT;FRA;21114;9
373;Mila MULLER;FRA;48089;9
373;Lucia WANG;GER;20386;9
373;Julia MALOLEPSZA;POL;42453;9
373;Gabriela TURSKA;POL;42975;9
373;Michalina LEFEK;POL;41194;9
373;Anastasiia RADIUKOVA;UKR;40423;9
373;Dorota KASTNEROVÁ;CZE;25739;9
373;Marie ULLMANN;GER;35604;9
373;Clara MARCUS;GER;33545;9
373;Zuzanna MISIAK;POL;20182;9
373;Lena SWIDERSKA;POL;49491;9
373;Zofia TUMIDAJEWICZ;POL;27885;9
373;Liliana SALUK;POL;28499;9
373;Dominika CHRZASZCZ;POL;39105;9
373;Julia SIENKIEWICZ;POL;46116;9
373;Sadena MAJIDI;GER;24720;9
373;Martyna SAWICKA;POL;20270;9
373;Lakshitha RAMESH KUMAR;GER;40426;9
373;Johanna KOCK;GER;37471;9
373;Lena HECKEN;GER;35593;9
373;Lea Alexa MÖLLER;GER;38957;9
422;Isabel NUNES;POR;34033;6
422;Maja FROM;DEN;31775;6
422;Natalia KUNIKOVA;SVK;46484;6
422;Boglarka MOLNAR;HUN;34483;6
422;Zsofi TAKACS;HUN;12488;6
422;Simona CHOMISTEKOVA;SVK;30760;6
422;Petra OROSOVA;SVK;34903;6
422;Loriana JANOCKOVA;SVK;48054;6
422;Luca OTTUCSAK;HUN;33953;6
422;Rozi FEIND;HUN;40114;6
422;Jazmin SIMON;HUN;31680;6
422;Ellen-Marie LYBÆK;DEN;34437;6
422;Smilla Gualdoni MADSEN;DEN;16242;6
422;Eva Vangsgaard LUND;DEN;37562;6
422;Liv PLAUBORG;DEN;34603;6
422;Viva LINDHAGE;DEN;28306;6
422;Silje BRIX OLSEN;DEN;13140;6
422;Eva KAVALIAUSKAITE;LTU;45836;6
422;Elze CERAUSKAITE;LTU;27084;6
422;Barbara LUJBER;HUN;24981;6
